id,name,firstname,lastname,age,birth,nationality,height,weight,injured,photo,0
629,K. De Bruyne,Kevin,De Bruyne,32,"{'date': '1991-06-28', 'place': 'Drongen', 'country': 'Belgium'}",Belgium,181 cm,68 kg,False,https://media.api-sports.io/football/players/629.png,"{'team': {'id': 50, 'name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 24, 'lineups': 22, 'minutes': 1933, 'number': None, 'position': 'Midfielder', 'rating': '7.750000', 'captain': False}, 'substitutes': {'in': 2, 'out': 9, 'bench': 4}, 'shots': {'total': 39, 'on': 18}, 'goals': {'total': 4, 'conceded': 0, 'assists': 12, 'saves': None}, 'passes': {'total': 1014, 'key': 79, 'accuracy': 33}, 'tackles': {'total': 22, 'blocks': 2, 'interceptions': 5}, 'duels': {'total': 157, 'won': 71}, 'dribbles': {'attempts': 34, 'success': 21, 'past': None}, 'fouls': {'drawn': 20, 'committed': 19}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
1460,B. Saka,Bukayo Ayoyinka,Saka,22,"{'date': '2001-09-05', 'place': 'London', 'country': 'England'}",England,178 cm,72 kg,False,https://media.api-sports.io/football/players/1460.png,"{'team': {'id': 42, 'name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 26, 'lineups': 26, 'minutes': 2251, 'number': None, 'position': 'Midfielder', 'rating': '7.319230', 'captain': False}, 'substitutes': {'in': 0, 'out': 9, 'bench': 0}, 'shots': {'total': 43, 'on': 22}, 'goals': {'total': 10, 'conceded': 0, 'assists': 9, 'saves': None}, 'passes': {'total': 890, 'key': 58, 'accuracy': 27}, 'tackles': {'total': 36, 'blocks': None, 'interceptions': 13}, 'duels': {'total': 286, 'won': 128}, 'dribbles': {'attempts': 92, 'success': 41, 'past': None}, 'fouls': {'drawn': 43, 'committed': 29}, 'cards': {'yellow': 5, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 2, 'missed': 0, 'saved': None}}"
306,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,31,"{'date': '1992-06-15', 'place': 'Muḥāfaẓat al Gharbiyya', 'country': 'Egypt'}",Egypt,175 cm,71 kg,False,https://media.api-sports.io/football/players/306.png,"{'team': {'id': 40, 'name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 25, 'lineups': 25, 'minutes': 2229, 'number': None, 'position': 'Attacker', 'rating': '7.072000', 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': 63, 'on': 32}, 'goals': {'total': 11, 'conceded': 0, 'assists': 7, 'saves': None}, 'passes': {'total': 652, 'key': 47, 'accuracy': 20}, 'tackles': {'total': 13, 'blocks': None, 'interceptions': 4}, 'duels': {'total': 209, 'won': 70}, 'dribbles': {'attempts': 75, 'success': 28, 'past': None}, 'fouls': {'drawn': 24, 'committed': 14}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
174,C. Eriksen,Christian,Dannemann Eriksen,31,"{'date': '1992-02-14', 'place': 'Middelfart', 'country': 'Denmark'}",Denmark,182 cm,76 kg,False,https://media.api-sports.io/football/players/174.png,"{'team': {'id': 33, 'name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 19, 'lineups': 18, 'minutes': 1499, 'number': None, 'position': 'Midfielder', 'rating': '6.957894', 'captain': False}, 'substitutes': {'in': 1, 'out': 11, 'bench': 1}, 'shots': {'total': 17, 'on': 9}, 'goals': {'total': 1, 'conceded': 0, 'assists': 7, 'saves': None}, 'passes': {'total': 962, 'key': 25, 'accuracy': 41}, 'tackles': {'total': 12, 'blocks': 7, 'interceptions': 8}, 'duels': {'total': 79, 'won': 27}, 'dribbles': {'attempts': 8, 'success': 2, 'past': None}, 'fouls': {'drawn': 6, 'committed': 10}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
37127,M. Ødegaard,Martin,Ødegaard,25,"{'date': '1998-12-17', 'place': 'Drammen', 'country': 'Norway'}",Norway,178 cm,68 kg,False,https://media.api-sports.io/football/players/37127.png,"{'team': {'id': 42, 'name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 25, 'lineups': 25, 'minutes': 2141, 'number': None, 'position': 'Midfielder', 'rating': '7.408000', 'captain': False}, 'substitutes': {'in': 0, 'out': 16, 'bench': 0}, 'shots': {'total': 40, 'on': 22}, 'goals': {'total': 9, 'conceded': 0, 'assists': 6, 'saves': None}, 'passes': {'total': 1121, 'key': 59, 'accuracy': 37}, 'tackles': {'total': 23, 'blocks': 2, 'interceptions': 4}, 'duels': {'total': 197, 'won': 83}, 'dribbles': {'attempts': 48, 'success': 32, 'past': None}, 'fouls': {'drawn': 18, 'committed': 22}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
1485,Bruno Fernandes,Bruno Miguel,Borges Fernandes,29,"{'date': '1994-09-08', 'place': 'Maia', 'country': 'Portugal'}",Portugal,179 cm,69 kg,False,https://media.api-sports.io/football/players/1485.png,"{'team': {'id': 33, 'name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 24, 'lineups': 24, 'minutes': 2160, 'number': None, 'position': 'Midfielder', 'rating': '7.466666', 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': 37, 'on': 19}, 'goals': {'total': 5, 'conceded': 0, 'assists': 6, 'saves': None}, 'passes': {'total': 1109, 'key': 70, 'accuracy': 35}, 'tackles': {'total': 55, 'blocks': 2, 'interceptions': 15}, 'duels': {'total': 245, 'won': 111}, 'dribbles': {'attempts': 34, 'success': 17, 'past': None}, 'fouls': {'drawn': 28, 'committed': 31}, 'cards': {'yellow': 5, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}}"
899,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,27,"{'date': '1996-01-01', 'place': 'Duffel', 'country': 'Belgium'}",Brazil,178 cm,71 kg,False,https://media.api-sports.io/football/players/899.png,"{'team': {'id': 36, 'name': 'Fulham', 'logo': 'https://media.api-sports.io/football/teams/36.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 25, 'lineups': 25, 'minutes': 2094, 'number': None, 'position': 'Midfielder', 'rating': '6.920000', 'captain': False}, 'substitutes': {'in': 0, 'out': 19, 'bench': 0}, 'shots': {'total': 27, 'on': 14}, 'goals': {'total': 2, 'conceded': 0, 'assists': 6, 'saves': None}, 'passes': {'total': 637, 'key': 55, 'accuracy': 18}, 'tackles': {'total': 13, 'blocks': 3, 'interceptions': 4}, 'duels': {'total': 181, 'won': 57}, 'dribbles': {'attempts': 31, 'success': 12, 'past': None}, 'fouls': {'drawn': 25, 'committed': 30}, 'cards': {'yellow': 7, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 1, 'missed': 0, 'saved': None}}"
1455,A. Iwobi,Alexander Chuka,Iwobi,27,"{'date': '1996-05-03', 'place': 'Lagos', 'country': 'Nigeria'}",Nigeria,180 cm,75 kg,False,https://media.api-sports.io/football/players/1455.png,"{'team': {'id': 45, 'name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 26, 'lineups': 26, 'minutes': 2302, 'number': None, 'position': 'Attacker', 'rating': '6.946153', 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': 17, 'on': 7}, 'goals': {'total': 1, 'conceded': 0, 'assists': 6, 'saves': None}, 'passes': {'total': 1006, 'key': 41, 'accuracy': 31}, 'tackles': {'total': 52, 'blocks': 1, 'interceptions': 16}, 'duels': {'total': 204, 'won': 96}, 'dribbles': {'attempts': 64, 'success': 32, 'past': None}, 'fouls': {'drawn': 7, 'committed': 14}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
289,A. Robertson,Andrew Henry,Robertson,29,"{'date': '1994-03-11', 'place': 'Glasgow', 'country': 'Scotland'}",Scotland,178 cm,64 kg,False,https://media.api-sports.io/football/players/289.png,"{'team': {'id': 40, 'name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 22, 'lineups': 19, 'minutes': 1685, 'number': None, 'position': 'Defender', 'rating': '7.081818', 'captain': False}, 'substitutes': {'in': 3, 'out': 7, 'bench': 4}, 'shots': {'total': 6, 'on': 3}, 'goals': {'total': 0, 'conceded': 0, 'assists': 6, 'saves': None}, 'passes': {'total': 1132, 'key': 37, 'accuracy': 43}, 'tackles': {'total': 23, 'blocks': 4, 'interceptions': 15}, 'duels': {'total': 117, 'won': 56}, 'dribbles': {'attempts': 26, 'success': 11, 'past': None}, 'fouls': {'drawn': 9, 'committed': 14}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
1100,E. Haaland,Erling,Braut Haaland,23,"{'date': '2000-07-21', 'place': 'Leeds', 'country': 'England'}",Norway,194 cm,88 kg,False,https://media.api-sports.io/football/players/1100.png,"{'team': {'id': 50, 'name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 25, 'lineups': 24, 'minutes': 2030, 'number': None, 'position': 'Attacker', 'rating': '7.424000', 'captain': False}, 'substitutes': {'in': 1, 'out': 9, 'bench': 1}, 'shots': {'total': 71, 'on': 43}, 'goals': {'total': 27, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 347, 'key': 20, 'accuracy': 10}, 'tackles': {'total': 3, 'blocks': 3, 'interceptions': 2}, 'duels': {'total': 152, 'won': 57}, 'dribbles': {'attempts': 20, 'success': 6, 'past': None}, 'fouls': {'drawn': 17, 'committed': 23}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 4, 'missed': 0, 'saved': None}}"
18784,J. Maddison,James Daniel,Maddison,27,"{'date': '1996-11-23', 'place': 'Coventry', 'country': 'England'}",England,175 cm,73 kg,False,https://media.api-sports.io/football/players/18784.png,"{'team': {'id': 46, 'name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 18, 'lineups': 17, 'minutes': 1456, 'number': None, 'position': 'Midfielder', 'rating': '7.438888', 'captain': False}, 'substitutes': {'in': 1, 'out': 4, 'bench': 1}, 'shots': {'total': 33, 'on': 16}, 'goals': {'total': 9, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 658, 'key': 42, 'accuracy': 30}, 'tackles': {'total': 29, 'blocks': None, 'interceptions': 10}, 'duels': {'total': 164, 'won': 87}, 'dribbles': {'attempts': 31, 'success': 14, 'past': None}, 'fouls': {'drawn': 42, 'committed': 19}, 'cards': {'yellow': 7, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
643,Gabriel Jesus,Gabriel Fernando,de Jesus,26,"{'date': '1997-04-03', 'place': 'São Paulo', 'country': 'Brazil'}",Brazil,175 cm,73 kg,False,https://media.api-sports.io/football/players/643.png,"{'team': {'id': 42, 'name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 14, 'lineups': 14, 'minutes': 1226, 'number': None, 'position': 'Attacker', 'rating': '7.121428', 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': 37, 'on': 20}, 'goals': {'total': 5, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 387, 'key': 23, 'accuracy': 22}, 'tackles': {'total': 19, 'blocks': 2, 'interceptions': 8}, 'duels': {'total': 256, 'won': 108}, 'dribbles': {'attempts': 58, 'success': 27, 'past': None}, 'fouls': {'drawn': 38, 'committed': 24}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
636,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,29,"{'date': '1994-08-10', 'place': 'Lisboa', 'country': 'Portugal'}",Portugal,173 cm,64 kg,False,https://media.api-sports.io/football/players/636.png,"{'team': {'id': 50, 'name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 24, 'lineups': 19, 'minutes': 1706, 'number': None, 'position': 'Midfielder', 'rating': '7.025000', 'captain': False}, 'substitutes': {'in': 5, 'out': 6, 'bench': 7}, 'shots': {'total': 13, 'on': 8}, 'goals': {'total': 4, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 1098, 'key': 26, 'accuracy': 40}, 'tackles': {'total': 41, 'blocks': 3, 'interceptions': 13}, 'duels': {'total': 170, 'won': 75}, 'dribbles': {'attempts': 47, 'success': 21, 'past': None}, 'fouls': {'drawn': 11, 'committed': 21}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
1464,G. Xhaka,Granit,Xhaka,31,"{'date': '1992-09-27', 'place': 'Basel', 'country': 'Switzerland'}",Switzerland,186 cm,80 kg,False,https://media.api-sports.io/football/players/1464.png,"{'team': {'id': 42, 'name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 26, 'lineups': 25, 'minutes': 2120, 'number': None, 'position': 'Midfielder', 'rating': '6.976923', 'captain': False}, 'substitutes': {'in': 1, 'out': 7, 'bench': 1}, 'shots': {'total': 15, 'on': 5}, 'goals': {'total': 3, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 1159, 'key': 37, 'accuracy': 38}, 'tackles': {'total': 21, 'blocks': 9, 'interceptions': 10}, 'duels': {'total': 158, 'won': 85}, 'dribbles': {'attempts': 13, 'success': 6, 'past': None}, 'fouls': {'drawn': 31, 'committed': 17}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
44,Rodri,Rodrigo,Hernández Cascante,27,"{'date': '1996-06-22', 'place': 'Madrid', 'country': 'Spain'}",Spain,190 cm,82 kg,False,https://media.api-sports.io/football/players/44.png,"{'team': {'id': 50, 'name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 25, 'lineups': 25, 'minutes': 2153, 'number': None, 'position': 'Midfielder', 'rating': '7.444000', 'captain': False}, 'substitutes': {'in': 0, 'out': 6, 'bench': 0}, 'shots': {'total': 28, 'on': 10}, 'goals': {'total': 2, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 2239, 'key': 30, 'accuracy': 81}, 'tackles': {'total': 53, 'blocks': 13, 'interceptions': 27}, 'duels': {'total': 231, 'won': 140}, 'dribbles': {'attempts': 20, 'success': 15, 'past': None}, 'fouls': {'drawn': 13, 'committed': 34}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
19617,M. Olise,Michael Akpovie,Olise,22,"{'date': '2001-12-12', 'place': None, 'country': 'England'}",France,176 cm,,False,https://media.api-sports.io/football/players/19617.png,"{'team': {'id': 52, 'name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 24, 'lineups': 18, 'minutes': 1615, 'number': None, 'position': 'Midfielder', 'rating': '7.008333', 'captain': False}, 'substitutes': {'in': 6, 'out': 11, 'bench': 6}, 'shots': {'total': 14, 'on': 6}, 'goals': {'total': 2, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 706, 'key': 40, 'accuracy': 25}, 'tackles': {'total': 37, 'blocks': 1, 'interceptions': 10}, 'duels': {'total': 233, 'won': 116}, 'dribbles': {'attempts': 70, 'success': 35, 'past': None}, 'fouls': {'drawn': 36, 'committed': 17}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
47522,Douglas Luiz,Douglas Luiz,Soares de Paulo,25,"{'date': '1998-05-09', 'place': 'Rio de Janeiro', 'country': 'Brazil'}",Brazil,175 cm,66 kg,False,https://media.api-sports.io/football/players/47522.png,"{'team': {'id': 66, 'name': 'Aston Villa', 'logo': 'https://media.api-sports.io/football/teams/66.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 24, 'lineups': 20, 'minutes': 1773, 'number': None, 'position': 'Midfielder', 'rating': '6.991666', 'captain': False}, 'substitutes': {'in': 4, 'out': 6, 'bench': 5}, 'shots': {'total': 12, 'on': 6}, 'goals': {'total': 2, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 1058, 'key': 30, 'accuracy': 38}, 'tackles': {'total': 44, 'blocks': 5, 'interceptions': 29}, 'duels': {'total': 187, 'won': 95}, 'dribbles': {'attempts': 21, 'success': 11, 'past': None}, 'fouls': {'drawn': 24, 'committed': 32}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 1}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
18746,M. Gibbs-White,Morgan Anthony,Gibbs-White,23,"{'date': '2000-01-27', 'place': None, 'country': 'England'}",England,,,False,https://media.api-sports.io/football/players/18746.png,"{'team': {'id': 65, 'name': 'Nottingham Forest', 'logo': 'https://media.api-sports.io/football/teams/65.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 22, 'lineups': 21, 'minutes': 1830, 'number': None, 'position': 'Midfielder', 'rating': '6.945454', 'captain': False}, 'substitutes': {'in': 1, 'out': 5, 'bench': 1}, 'shots': {'total': 30, 'on': 13}, 'goals': {'total': 2, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 588, 'key': 44, 'accuracy': 18}, 'tackles': {'total': 16, 'blocks': 3, 'interceptions': 10}, 'duels': {'total': 236, 'won': 86}, 'dribbles': {'attempts': 52, 'success': 23, 'past': None}, 'fouls': {'drawn': 17, 'committed': 18}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
30435,D. Kulusevski,Dejan,Kulusevski,23,"{'date': '2000-04-25', 'place': None, 'country': 'Sweden'}",Sweden,186 cm,80 kg,False,https://media.api-sports.io/football/players/30435.png,"{'team': {'id': 47, 'name': 'Tottenham', 'logo': 'https://media.api-sports.io/football/teams/47.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 18, 'lineups': 16, 'minutes': 1386, 'number': None, 'position': 'Midfielder', 'rating': '6.950000', 'captain': False}, 'substitutes': {'in': 2, 'out': 13, 'bench': 2}, 'shots': {'total': 15, 'on': 8}, 'goals': {'total': 2, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 472, 'key': 32, 'accuracy': 20}, 'tackles': {'total': 27, 'blocks': None, 'interceptions': 5}, 'duels': {'total': 178, 'won': 73}, 'dribbles': {'attempts': 64, 'success': 28, 'past': None}, 'fouls': {'drawn': 15, 'committed': 22}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
19128,J. Harrison,Jack David,Harrison,27,"{'date': '1996-11-20', 'place': 'Stoke-on-Trent', 'country': 'England'}",England,175 cm,70 kg,False,https://media.api-sports.io/football/players/19128.png,"{'team': {'id': 63, 'name': 'Leeds', 'logo': 'https://media.api-sports.io/football/teams/63.png'}, 'league': {'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2022}, 'games': {'appearences': 23, 'lineups': 21, 'minutes': 1667, 'number': None, 'position': 'Midfielder', 'rating': '6.747826', 'captain': False}, 'substitutes': {'in': 2, 'out': 15, 'bench': 3}, 'shots': {'total': 18, 'on': 7}, 'goals': {'total': 1, 'conceded': 0, 'assists': 5, 'saves': None}, 'passes': {'total': 590, 'key': 38, 'accuracy': 18}, 'tackles': {'total': 30, 'blocks': 1, 'interceptions': 8}, 'duels': {'total': 242, 'won': 91}, 'dribbles': {'attempts': 64, 'success': 30, 'past': None}, 'fouls': {'drawn': 27, 'committed': 25}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}"
